  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
  1	        -591985	            0.961538	        0.38	         -20875.2	            -41750.5	             -591988	        -1.18398e+06	            -20875.2	            -41750.5	            -41758.9	              571119	          -0.0148603
  2	        -591985	                   1	        0.43	         -20875.3	            -41750.7	             -591987	        -1.18398e+06	            -20875.3	            -41750.7	            -41758.4	              571118	          -0.0210161
  3	        -589122	            0.735294	         0.4	         -20875.4	            -41750.9	             -589128	        -1.17825e+06	            -20875.4	            -41750.9	            -41758.2	              568259	          -0.0257398
  4	        -500299	               0.625	        1.22	         -20875.6	            -41751.1	             -503852	         -1.0077e+06	            -20875.6	            -41751.1	            -41758.1	              482982	          -0.0297223
  5	        -433254	               0.625	        0.43	         -20875.7	            -41751.3	             -434298	             -868592	            -20875.7	            -41751.3	            -41758.1	              413429	          -0.0332312
  6	        -373595	            0.434783	        0.41	         -20875.8	            -41751.5	             -374421	             -748838	            -20875.8	            -41751.5	            -41758.2	              353552	          -0.0364036
  7	        -337363	                 0.5	        0.39	         -20875.9	            -41751.7	             -338222	             -676439	            -20875.9	            -41751.7	            -41758.2	              317352	          -0.0393211
  8	        -303780	            0.416667	        0.41	           -20876	            -41751.9	             -304139	             -608274	              -20876	            -41751.9	            -41758.3	              283270	          -0.0420368
  9	        -273081	            0.320513	        1.04	         -20876.1	            -41752.2	             -273470	             -546935	            -20876.1	            -41752.2	            -41758.4	              252600	          -0.0445876
 10	        -244901	            0.344828	        0.69	         -20876.2	            -41752.4	             -245047	             -490089	            -20876.2	            -41752.4	            -41758.5	              224177	          -0.0470003
 11	        -224991	            0.318471	        0.61	         -20876.3	            -41752.6	             -225276	             -450548	            -20876.3	            -41752.6	            -41758.6	              204406	          -0.0492953
 12	        -207563	            0.304878	        0.63	         -20876.4	            -41752.8	             -207918	             -415832	            -20876.4	            -41752.8	            -41758.7	              187048	          -0.0514882
 13	        -185965	            0.220264	        0.59	         -20876.5	              -41753	             -186481	             -372957	            -20876.5	              -41753	            -41758.9	              165610	          -0.0535916
 14	        -172511	            0.204918	        0.63	         -20876.6	            -41753.2	             -172902	             -345799	            -20876.6	            -41753.2	              -41759	              152031	          -0.0556156
 15	        -159245	            0.209205	        0.52	         -16521.1	            -33042.1	             -159518	             -319032	            -16521.1	            -33042.1	            -33047.8	              143003	          -0.0575687
 16	        -143439	             0.15528	        0.47	         -16521.2	            -33042.3	             -143559	             -287114	            -16521.2	            -33042.3	              -33048	              127044	          -0.0594578
 17	        -132273	             0.14881	        0.48	         -16521.3	            -33042.5	             -132403	             -264801	            -16521.3	            -33042.5	            -33048.1	              115888	          -0.0612888
 18	        -122283	            0.131926	        0.43	         -14595.4	            -29190.7	             -122460	             -244915	            -14595.4	            -29190.7	            -29196.2	              107871	          -0.0630668
 19	        -114520	             0.13587	        0.48	         -14595.5	            -29190.9	             -114584	             -229164	            -14595.5	            -29190.9	            -29196.4	             99994.7	          -0.0647962
 20	        -105031	            0.108225	        1.03	         -14595.6	            -29191.1	             -105347	             -210689	            -14595.6	            -29191.1	            -29196.5	             90757.2	          -0.0664807
 21	       -96875.6	            0.113379	        4.64	         -14595.7	            -29191.3	            -96973.6	             -193943	            -14595.7	            -29191.3	            -29196.7	             82384.2	          -0.0681237
 22	       -91247.5	             0.21645	        4.95	         -14595.8	            -29191.5	            -91303.7	             -182603	            -14595.8	            -29191.5	            -29196.9	             76714.2	          -0.0697281
 23	       -85870.2	            0.236967	        1.41	         -13278.1	            -26556.3	            -85888.6	             -171773	            -13278.1	            -26556.3	            -26561.6	             72616.7	          -0.0712966
 24	         -81568	            0.197628	       23.38	         -9089.32	            -18178.6	            -81637.7	             -163271	            -9089.32	            -18178.6	            -18183.9	             72554.6	          -0.0728313
 25	       -77468.9	            0.174216	        0.84	         -9089.43	            -18178.9	            -77567.1	             -155130	            -9089.43	            -18178.9	            -18184.1	             68483.8	          -0.0743345
 26	         -74145	            0.232558	        0.43	         -9089.54	            -18179.1	            -74199.5	             -148394	            -9089.54	            -18179.1	            -18184.2	             65116.2	          -0.0758081
 27	       -69237.9	            0.191571	        3.62	         -9089.64	            -18179.3	            -69422.3	             -138840	            -9089.64	            -18179.3	            -18184.4	             60338.8	          -0.0772536
