  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
  1	       -65.7401	            0.970874	    0.765849	         -55.9945	            -118.017	            -69.9769	            -141.204	            -55.9945	            -118.017	            -121.097	             16.3377	            -3.25508
  2	       -63.5838	            0.900901	    0.858278	         -55.9964	            -118.119	             -66.806	             -136.69	            -55.9964	            -118.119	            -120.408	             13.0615	            -3.44642
  3	       -61.8034	            0.892857	    0.676241	         -56.0105	             -118.22	            -64.8838	            -133.369	            -56.0107	             -118.22	            -120.032	              11.034	            -3.61751
  4	       -60.4546	            0.847458	    0.733142	         -55.9995	             -118.25	            -63.4326	            -130.806	            -56.0001	            -118.249	            -119.726	             9.47756	            -3.77563
  5	       -59.3697	            0.952381	    0.656005	         -56.0232	            -118.355	            -62.2415	            -128.824	            -56.0252	            -118.352	            -119.558	             8.18119	             -3.9481
  6	       -58.4221	            0.869565	    0.785859	         -56.0269	            -118.447	            -61.2067	            -127.079	            -56.0326	             -118.44	            -119.399	              7.0412	            -4.16748
  7	       -57.7996	            0.862069	    0.730443	          -56.016	            -118.504	            -60.4067	            -125.888	            -56.0285	            -118.491	            -119.245	             6.13597	            -4.40818
  8	       -57.2476	            0.833333	    0.797994	         -56.0159	            -118.563	            -59.7915	            -124.912	            -56.0391	            -118.544	            -119.141	             5.41553	            -4.64813
  9	       -56.8319	             0.78125	    0.749878	         -56.0248	            -118.623	            -59.2765	            -124.139	            -56.0643	            -118.597	            -119.078	             4.79519	            -4.87718
 10	       -56.4735	            0.813008	    0.810301	         -56.0286	            -118.675	              -58.85	            -123.503	              -56.09	            -118.647	            -119.024	             4.26346	               -5.14
 11	       -56.1685	            0.704225	    0.860274	         -56.0328	            -118.707	            -58.4882	            -122.967	            -56.1225	            -118.683	            -118.985	             3.85358	            -5.36059
 12	       -55.9252	            0.729927	    0.805848	         -56.0248	            -118.704	              -58.18	            -122.517	            -56.1479	            -118.693	            -118.932	             3.47403	            -5.55607
 13	       -55.7182	            0.740741	    0.793644	         -56.0203	            -118.718	            -57.9175	            -122.135	            -56.1828	             -118.73	            -118.894	             3.10631	            -5.81065
 14	       -55.5356	            0.497512	    1.107734	         -56.0252	            -118.746	            -57.6928	            -121.805	            -56.2343	            -118.791	            -118.886	              2.7764	            -6.04653
 15	       -55.3898	            0.628931	    0.887168	         -56.0219	            -118.752	            -57.4984	            -121.521	            -56.2812	             -118.84	            -118.863	             2.47673	            -6.27462
 16	       -55.2726	            0.534759	    1.095738	         -56.0185	            -118.751	            -57.3333	            -121.275	            -56.3312	            -118.891	            -118.843	             2.20633	            -6.46258
 17	        -55.182	            0.446429	    1.223788	         -56.0219	            -118.769	            -57.1908	            -121.064	             -56.394	            -118.972	            -118.842	             1.95859	            -6.69651
 18	       -55.0939	            0.408163	    1.324384	         -56.0236	            -118.781	            -57.0679	            -120.876	            -56.4573	            -119.055	            -118.839	             1.73048	            -6.92641
