  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	           Delta_max	          Delta_LFNS
  1	       -73.2449	                   1	    0.239878	         -56.0807	            -114.196	            -78.6279	            -155.721	            -56.0807	            -114.196	             26.0744	            -1.10557
  2	        -67.715	            0.909091	     0.39846	         -56.1057	            -114.392	            -71.5327	            -142.856	            -56.1057	            -114.392	              18.875	             -1.2298
  3	       -65.4146	            0.909091	    0.352315	         -56.0882	            -114.553	             -68.676	            -138.601	            -56.0882	            -114.553	             15.9141	            -1.38471
  4	       -62.4995	            0.666667	    0.454112	          -56.007	            -114.662	            -66.4247	            -133.458	            -56.0071	            -114.662	             13.5584	            -1.59652
  5	       -61.5393	            0.666667	    0.359917	         -55.8185	            -114.554	            -64.6209	            -131.133	            -55.8186	            -114.554	             11.6504	            -1.82692
  6	       -59.9624	            0.555556	       0.335	         -55.8645	            -114.737	            -63.2145	             -128.44	            -55.8651	            -114.737	             10.1398	             -1.9408
  7	       -58.8605	            0.666667	    0.347699	         -55.9292	            -114.923	            -62.0146	             -126.08	            -55.9314	            -114.922	              8.8356	            -2.03071
  8	       -57.7591	            0.555556	    0.359835	         -55.9163	            -115.054	            -60.8194	            -124.072	            -55.9238	            -115.052	             7.53613	            -2.21286
  9	       -57.2854	            0.434783	    0.373897	         -55.9648	            -115.228	            -60.0504	            -122.953	            -55.9818	            -115.224	             6.66287	            -2.32928
 10	       -56.8385	            0.322581	    0.709153	         -55.9362	            -115.329	            -59.5009	            -122.143	            -55.9649	            -115.324	             6.00911	            -2.54431
 11	       -56.5891	            0.434783	    0.477513	         -55.9227	            -115.412	            -59.0691	            -121.608	            -55.9666	            -115.407	             5.47301	            -2.72847
 12	       -56.3293	            0.555556	    0.310188	         -55.9704	            -115.566	            -58.7218	            -121.129	            -56.0364	            -115.563	             5.02147	            -2.85082
 13	        -56.188	            0.526316	    0.407291	         -55.9859	            -115.679	             -58.439	            -120.771	            -56.0758	            -115.682	             4.63445	            -3.02277
 14	       -55.9788	            0.555556	    0.437397	         -55.9508	            -115.689	            -58.2074	            -120.416	            -56.0614	              -115.7	             4.29859	             -3.2242
 15	       -55.7783	            0.434783	    0.581717	         -55.9501	             -115.75	            -57.9976	            -120.095	            -56.0883	            -115.773	             3.98451	             -3.4062
 16	       -55.5126	            0.285714	    0.667013	         -55.9285	            -115.759	            -57.8026	            -119.753	            -56.0952	              -115.8	             3.68528	            -3.59252
 17	       -55.3979	            0.285714	    0.573837	         -55.9572	            -115.864	            -57.6237	             -119.47	            -56.1666	            -115.933	             3.40212	            -3.75856
 18	       -55.2758	            0.285714	    0.533264	         -55.9596	            -115.907	             -57.473	            -119.222	            -56.2083	            -116.008	             3.14708	            -3.93224
 19	       -55.1338	               0.625	    0.371439	         -55.9454	            -115.859	            -57.3379	            -118.994	             -56.231	            -115.989	             2.90777	            -3.92586
 20	       -55.0355	            0.277778	    0.719427	         -55.9056	            -115.788	            -57.2158	            -118.789	            -56.2199	            -115.947	             2.68138	            -4.04991
 21	       -54.9798	             0.25641	    0.615484	         -55.8983	             -115.79	             -57.111	            -118.612	            -56.2512	            -115.989	             2.47229	            -4.18478
 22	       -54.8764	            0.357143	     0.44309	         -55.8984	            -115.824	            -57.0172	            -118.445	             -56.294	            -116.073	             2.27425	            -4.40737
 23	       -54.8115	            0.294118	    0.480228	         -55.8846	            -115.815	            -56.9332	            -118.294	            -56.3161	            -116.109	               2.086	            -4.61273
 24	       -54.7049	            0.169492	    0.783034	         -55.9047	            -115.881	            -56.8577	            -118.154	            -56.3918	            -116.241	             1.90623	            -4.80637
 25	       -54.6334	            0.131579	    1.338553	         -55.9017	            -115.891	            -56.7883	            -118.022	            -56.4328	             -116.31	             1.73258	            -5.03066
 26	       -54.5449	            0.232558	     0.89845	         -55.8889	            -115.867	            -56.7248	            -117.898	             -56.457	            -116.336	             1.56487	            -5.19766
 27	       -54.4518	            0.185185	    0.699527	         -55.9074	            -115.924	            -56.6657	            -117.778	            -56.5393	            -116.477	             1.40145	            -5.39626
 28	        -54.354	            0.163934	    0.859901	         -55.9021	            -115.907	            -56.6113	            -117.666	            -56.5795	            -116.515	             1.43451	            -5.41023
 29	       -54.2933	           0.0917431	    1.263048	         -55.8837	            -115.853	            -56.5601	            -117.558	            -56.5938	              -116.5	             1.41186	            -5.38034
 30	       -54.2287	           0.0847458	     1.59447	         -55.8615	            -115.797	            -56.5132	            -117.458	            -56.5979	            -116.484	             1.26074	            -5.48223
 31	       -54.1397	           0.0909091	    1.482591	         -55.8657	            -115.817	            -56.4695	            -117.362	             -56.657	            -116.585	             1.11279	            -5.69864
 32	        -54.087	            0.103093	    1.266601	         -55.8634	            -115.817	            -56.4291	            -117.272	            -56.7026	            -116.659	             0.96813	            -5.91279
