  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
  1	       -19876.2	            0.943396	        0.15	         -879.598	             -1759.2	            -20979.2	            -41953.8	            -879.598	             -1759.2	            -1767.61	             20105.8	          -0.0148603
  2	       -6772.86	            0.847458	        0.22	         -879.703	            -1759.41	            -6775.89	            -13554.2	            -879.703	            -1759.41	            -1767.13	             5902.41	          -0.0210161
  3	       -6685.62	            0.746269	        1.29	         -879.808	            -1759.62	            -6699.75	            -13395.7	            -879.808	            -1759.62	            -1766.94	             5826.16	          -0.0257398
  4	       -6453.56	            0.649351	        0.17	         -879.913	            -1759.83	            -6461.45	            -12919.8	            -879.913	            -1759.83	            -1766.86	             5587.75	          -0.0297223
  5	       -6247.72	            0.549451	        0.13	         -880.018	            -1760.04	            -6255.71	            -12508.2	            -880.018	            -1760.04	            -1766.84	              5381.9	          -0.0332312
  6	       -6036.77	            0.581395	        0.14	         -880.123	            -1760.25	            -6045.13	            -12086.5	            -880.123	            -1760.25	            -1766.87	             5171.22	          -0.0364036
  7	       -5832.97	            0.520833	        0.14	         -880.228	            -1760.46	            -5839.88	            -11675.3	            -880.228	            -1760.46	            -1766.93	             4965.86	          -0.0393211
  8	       -5603.14	            0.543478	        0.14	         -864.592	            -1729.18	            -5617.98	            -11231.5	            -864.592	            -1729.18	            -1735.52	              4759.6	           -0.042037
  9	       -5279.02	            0.454545	        0.12	         -864.698	            -1729.39	            -5295.19	            -10585.9	            -864.698	            -1729.39	            -1735.62	             4436.71	          -0.0445878
 10	       -5011.06	            0.431034	        0.11	         -864.803	             -1729.6	            -5027.42	            -10050.4	            -864.803	             -1729.6	            -1735.72	             4168.83	          -0.0470005
 11	       -4684.84	             0.27027	        3.94	         -864.908	            -1729.81	            -4703.07	            -9401.72	            -864.908	            -1729.81	            -1735.83	             3844.38	          -0.0492954
 12	       -4300.06	            0.274725	      492.85	         -865.013	            -1730.02	            -4315.33	            -8626.17	            -865.013	            -1730.02	            -1735.96	             3456.53	          -0.0514935
 13	       -4012.53	            0.434783	        2.07	         -865.118	            -1730.23	             -4023.2	            -8041.98	            -865.118	            -1730.23	            -1736.09	              3164.3	          -0.0535969
 14	       -3648.98	             0.45045	         0.5	         -865.223	            -1730.44	            -3674.06	            -7344.22	            -865.223	            -1730.44	            -1736.22	             2815.05	           -0.055621
 15	        -3320.2	            0.384615	        0.47	         -865.328	            -1730.65	            -3337.11	            -6670.14	            -865.328	            -1730.65	            -1736.37	             2477.99	          -0.0575741
 16	       -3091.91	            0.301205	        0.27	         -865.077	            -1730.69	            -3101.29	            -6198.11	            -865.077	            -1730.69	             -1735.8	             2242.07	           -0.350974
 17	       -2846.41	            0.342466	        0.32	         -862.467	            -1725.06	               -2856	            -5707.51	            -862.467	            -1725.06	            -1730.52	             1999.68	            -0.13271
 18	       -2632.55	            0.273224	      160.38	         -862.572	            -1725.27	            -2654.12	            -5304.08	            -862.572	            -1725.27	            -1730.67	             1797.69	           -0.134612
 19	       -2457.11	            0.357143	        2.93	         -862.677	            -1725.48	            -2468.91	            -4933.42	            -862.677	            -1725.48	            -1730.83	             1612.38	           -0.137077
 20	          -2307	             0.19305	      466.43	         -862.782	            -1725.69	            -2316.52	            -4628.62	            -862.782	            -1725.69	            -1730.98	             1459.89	           -0.138879
 21	       -2177.69	            0.347222	         3.5	         -862.887	             -1725.9	            -2186.08	            -4368.42	            -862.887	             -1725.9	            -1731.15	             1329.34	           -0.140637
 22	        -2000.9	            0.344828	        0.24	         -862.344	            -1725.44	            -2009.01	            -4015.13	            -862.344	            -1725.44	            -1730.01	             1152.17	           -0.484539
 23	        -1859.8	             0.33557	        0.25	         -850.808	            -1701.61	            -1870.41	            -3736.32	            -850.808	            -1701.61	             -1706.9	             1025.81	          -0.0713062
 24	       -1736.48	            0.203252	      564.33	         -850.913	            -1701.82	            -1746.07	            -3487.65	            -850.913	            -1701.82	            -1707.06	             901.372	          -0.0729059
 25	       -1584.95	             0.33557	         0.3	         -840.563	            -1681.12	            -1597.87	            -3191.94	            -840.563	            -1681.12	            -1686.32	             763.518	          -0.0743655
 26	       -1476.18	            0.251256	        0.19	         -840.668	            -1681.33	            -1485.19	            -2966.65	            -840.668	            -1681.33	            -1686.49	             650.733	          -0.0758391
 27	       -1382.89	            0.235849	        0.29	         -840.773	            -1681.54	             -1392.3	            -2781.85	            -840.773	            -1681.54	            -1686.67	             557.738	          -0.0772846
 28	       -1301.25	            0.214592	      182.33	         -840.878	            -1681.75	            -1310.37	            -2617.53	            -840.878	            -1681.75	            -1686.84	             475.711	          -0.0787786
 29	       -1237.26	            0.322581	        1.81	         -840.983	            -1681.96	             -1247.8	            -2491.21	            -840.983	            -1681.96	            -1687.01	             413.032	          -0.0801728
 30	        -1193.8	            0.236967	         319	         -841.088	            -1682.17	            -1202.83	            -2402.76	            -841.088	            -1682.17	            -1687.19	             367.959	          -0.0815432
 31	       -1136.95	            0.390625	        0.57	         -841.193	            -1682.38	            -1146.34	            -2288.98	            -841.193	            -1682.38	            -1687.37	             311.364	           -0.082891
