  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS	    sampling seconds
  1	       -65.4946	                   1	    0.082345	         -58.0091	            -116.869	            -72.4635	            -145.109	            -58.0091	            -116.869	            -120.806	             16.3302	           -0.575987	            0.048499
  2	        -65.114	                   1	    0.092227	         -56.9965	            -114.766	            -67.9765	            -136.142	            -56.9965	            -114.766	            -118.083	             12.8818	           -0.597436	            0.049185
  3	       -64.9451	                   1	    0.085307	         -56.9677	            -114.948	             -67.137	              -135.2	            -56.9677	            -114.948	            -117.616	              11.947	           -0.812154	            0.049692
  4	       -64.5668	                   1	    0.085657	         -57.0619	            -115.116	            -66.6599	            -134.724	             -57.062	            -115.116	            -117.513	             11.3745	           -0.855163	            0.054244
  5	       -61.3665	                   1	    0.093646	         -56.9494	            -115.223	             -66.252	            -134.224	            -56.9495	            -115.223	            -117.061	             10.8714	            -1.17103	            0.057496
  6	       -61.2014	                   1	    0.071359	          -56.556	            -114.573	            -64.1153	             -128.59	            -56.5566	            -114.573	            -116.089	             8.91134	            -1.36293	            0.036085
  7	       -59.2026	                   1	    0.084424	         -56.2624	            -114.143	            -63.4497	            -127.867	            -56.2631	            -114.143	            -115.344	             8.35745	            -1.60464	             0.04233
  8	       -58.6612	                 0.5	     0.17219	         -56.0866	            -113.973	            -62.0002	            -124.583	            -56.0893	            -113.972	             -114.86	             6.81264	              -1.927	            0.095546
  9	       -58.4593	                   1	     0.12999	         -56.0039	            -113.963	            -61.2137	            -123.383	            -56.0093	            -113.962	            -114.579	             5.93087	            -2.30607	            0.090206
 10	        -57.167	                   1	    0.103647	         -56.0544	            -114.093	            -60.7401	            -122.768	            -56.0636	             -114.09	            -114.579	             5.36197	            -2.52571	            0.062012
 11	       -56.5274	                   1	    0.099404	         -55.9357	            -113.903	            -59.9298	            -120.908	            -55.9543	            -113.901	             -114.26	             4.64557	            -2.82779	            0.060946
 12	        -56.038	                 0.5	    0.139599	         -55.9138	            -113.924	            -59.2583	            -119.634	            -55.9498	            -113.926	            -114.154	             3.87882	            -3.26779	            0.062147
 13	       -55.9381	                   1	     0.10028	         -55.9591	            -114.023	             -58.713	            -118.666	            -56.0249	            -114.035	            -114.207	             3.23816	            -3.48353	            0.064598
 14	       -55.8433	                 0.5	    0.122699	         -55.9909	            -114.103	            -58.3607	            -118.165	             -56.089	            -114.133	            -114.238	             2.79058	            -3.79189	            0.050117
 15	       -55.5083	                   1	    0.096183	         -56.0209	            -114.177	            -58.1008	            -117.817	            -56.1544	            -114.229	            -114.272	              2.4354	            -4.14013	            0.054598
 16	       -55.2437	                   1	    0.119357	         -55.8841	            -113.784	            -57.8456	            -117.413	            -56.0357	            -113.846	            -113.949	             2.64097	            -3.54327	            0.056086
 17	       -55.2002	                   1	    0.138225	         -55.9174	            -113.866	             -57.609	            -117.013	            -56.1211	            -113.971	            -114.007	             2.30911	            -3.70399	            0.097746
 18	       -55.0557	                   1	    0.106135	         -55.8279	            -113.654	            -57.4267	             -116.73	            -56.0537	            -113.778	            -113.789	             2.03146	            -3.72558	            0.065313
 19	       -54.9041	                 0.5	    0.134583	         -55.8566	            -113.728	            -57.2653	            -116.472	            -56.1369	            -113.904	            -113.842	             1.77481	            -3.90262	            0.051438
 20	       -54.8324	            0.333333	    0.192973	         -55.8438	            -113.719	             -57.119	            -116.228	            -56.1714	            -113.948	            -113.803	             1.53313	            -4.20898	            0.064179
 21	       -54.6843	                   1	    0.099887	         -55.8296	            -113.701	            -56.9941	            -116.022	            -56.2037	            -113.985	            -113.761	             1.31297	             -4.5337	            0.056491
 22	       -54.6585	                 0.2	    0.289213	         -55.8426	            -113.739	            -56.8774	             -115.82	            -56.2815	            -114.101	            -113.787	               1.101	            -4.77193	            0.078245
 23	       -54.6321	                   1	    0.121273	         -55.8525	            -113.769	            -56.7797	            -115.654	            -56.3562	            -114.213	            -113.806	            0.907914	            -5.03594	            0.075635
 24	       -54.4595	            0.142857	    0.434185	         -55.8539	            -113.779	            -56.6963	            -115.512	            -56.4172	            -114.302	            -113.805	            0.729235	            -5.36654	            0.115902
 25	        -54.433	            0.166667	    0.376035	         -55.8661	            -113.811	            -56.6134	            -115.361	            -56.5078	            -114.441	            -113.833	            0.551034	            -5.55666	            0.078888
 26	       -54.4251	                 0.2	    0.303747	         -55.8724	             -113.83	            -56.5418	            -115.231	              -56.59	            -114.567	            -113.848	            0.384098	             -5.7964	            0.107024
 27	       -54.3965	            0.333333	    0.168967	         -55.8722	            -113.832	            -56.4804	             -115.12	            -56.6581	            -114.668	            -113.845	            0.227373	            -6.09152	             0.05162
 28	       -54.3691	                   1	    0.104157	         -55.8572	            -113.796	            -56.4262	             -115.02	            -56.6922	            -114.699	            -113.806	           0.0778413	            -6.28617	            0.054743
 29	        -54.267	           0.0434783	    1.143822	         -55.8587	            -113.801	             -56.378	             -114.93	            -56.7625	            -114.806	            -113.809	          -0.0656046	            -6.62866	            0.111718
 30	       -54.2358	              0.0625	    0.815318	         -55.8551	            -113.793	            -56.3318	            -114.842	             -56.825	            -114.897	            -113.799	           -0.207146	            -6.94571	            0.111453
