  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
  1	       -65.6401	                   1	    0.011411	          -56.154	            -114.093	            -71.7552	            -143.693	             -56.154	            -114.093	            -117.095	             16.8451	            -1.14442
  2	         -64.31	                   1	    0.013477	         -55.5613	            -112.513	            -68.1069	            -136.435	            -55.5613	            -112.513	            -115.213	             14.1498	           -0.995589
  3	       -61.6305	                   1	    0.013376	         -55.4455	            -112.609	            -66.6371	            -133.913	            -55.4456	            -112.609	            -114.572	             12.5847	            -1.32894
  4	       -58.4717	                   1	    0.011858	          -55.533	             -112.76	            -64.2208	            -128.767	            -55.5332	            -112.759	            -114.456	              10.073	            -1.40579
  5	       -58.0929	                   1	    0.016113	         -55.5836	            -112.925	            -61.2008	            -122.617	            -55.5872	            -112.923	            -114.345	             6.95771	              -1.556
  6	        -57.705	                   1	    0.012622	         -55.5631	            -113.061	            -60.3841	            -121.647	            -55.5712	            -113.056	            -114.132	             6.04572	             -1.8472
  7	       -56.8596	                 0.5	    0.015905	         -55.6116	            -113.209	            -59.8258	            -120.917	            -55.6265	              -113.2	             -114.09	             5.39208	             -2.0245
  8	       -55.9335	                   1	    0.012807	         -55.6566	            -113.348	            -59.1808	            -119.674	            -55.6866	            -113.334	            -114.081	             4.65184	            -2.19887
  9	       -55.7427	            0.333333	    0.020703	         -55.6259	            -113.404	            -58.4432	            -118.075	            -55.6875	            -113.387	            -113.962	             3.81893	            -2.48861
 10	       -55.7029	                   1	    0.014339	         -55.6733	            -113.525	            -57.9896	            -117.408	            -55.7771	             -113.51	            -114.025	                3.27	             -2.5973
 11	       -55.6364	                   1	    0.012902	         -55.6303	            -113.518	            -57.6932	            -117.051	            -55.7662	             -113.51	            -113.892	             2.87831	            -2.89944
 12	       -55.6089	                0.25	    0.030231	         -55.6149	            -113.549	            -57.4707	              -116.8	            -55.7849	            -113.552	            -113.822	             2.56049	            -3.21902
 13	       -55.4352	                 0.5	    0.017703	          -55.618	              -113.6	            -57.2998	            -116.621	            -55.8238	            -113.619	            -113.796	             2.29425	            -3.55042
 14	       -55.1166	                   1	    0.012513	         -55.6247	            -113.646	            -57.1429	            -116.435	             -55.872	             -113.69	            -113.787	               2.042	            -3.88762
 15	       -54.9052	                   1	    0.012428	         -55.6102	            -113.636	             -56.976	            -116.185	            -55.9048	             -113.72	            -113.737	             1.77983	            -4.22268
 16	       -54.8148	                   1	    0.013228	         -55.6214	            -113.677	            -56.8168	            -115.922	            -55.9817	            -113.823	            -113.757	             1.52529	            -4.46059
 17	       -54.6821	                0.25	    0.026267	         -55.5111	            -113.317	            -56.6801	            -115.699	            -55.8831	            -113.469	            -113.474	             1.64661	            -3.73382
 18	       -54.6796	                 0.5	    0.017315	         -55.5078	            -113.336	            -56.5555	            -115.489	            -55.9397	             -113.55	            -113.459	             1.42676	            -3.97466
 19	       -54.6545	                0.25	    0.025835	         -55.5242	            -113.391	            -56.4541	            -115.327	             -56.026	            -113.678	            -113.496	             1.23005	            -4.15039
 20	       -54.6211	                 0.5	    0.017195	         -55.5324	            -113.427	            -56.3681	             -115.19	            -56.1008	             -113.79	            -113.512	             1.04867	            -4.36729
 21	       -54.5461	            0.142857	    0.043294	          -55.546	            -113.473	            -56.2934	             -115.07	            -56.1877	            -113.921	            -113.544	            0.878692	            -4.54935
 22	       -54.5395	                   1	    0.014197	         -55.5535	            -113.503	            -56.2253	            -114.957	            -56.2685	            -114.043	            -113.561	            0.715254	            -4.75494
 23	       -54.5161	                   1	    0.011857	         -55.5507	            -113.505	            -56.1668	            -114.859	            -56.3274	            -114.128	             -113.55	            0.561423	            -5.00603
 24	       -54.5006	                 0.5	    0.017668	         -55.5633	            -113.544	            -56.1152	            -114.771	            -56.4209	            -114.273	            -113.582	            0.414566	            -5.17277
 25	       -54.4909	           0.0344828	    0.146897	         -55.5587	            -113.538	            -56.0699	            -114.692	            -56.4746	            -114.349	            -113.568	            0.273912	            -5.43354
 26	       -54.3948	            0.166667	    0.040468	         -55.5621	            -113.552	              -56.03	            -114.621	            -56.5466	            -114.459	            -113.575	            0.138715	            -5.69063
 27	       -54.3754	                   1	    0.013215	         -55.5697	            -113.576	            -55.9916	             -114.55	            -56.6362	            -114.601	            -113.595	          0.00501868	            -5.88534
 28	       -54.3556	                 0.1	    0.051818	         -55.5756	            -113.595	            -55.9573	            -114.486	            -56.7235	            -114.739	            -113.611	           -0.124602	            -6.09191
 29	       -54.3504	                 0.2	    0.029248	         -55.5777	            -113.603	            -55.9265	            -114.426	            -56.8002	            -114.859	            -113.616	           -0.250708	            -6.33423
 30	       -54.3191	           0.0909091	    0.055062	         -55.5759	            -113.601	            -55.8991	            -114.373	            -56.8627	            -114.953	             -113.61	           -0.373356	            -6.60537
 31	       -54.2711	                0.25	    0.024524	         -55.5806	            -113.615	            -55.8742	            -114.322	            -56.9494	            -115.092	            -113.623	           -0.493645	            -6.82819
 32	       -54.2117	                   1	    0.013252	          -55.582	             -113.62	            -55.8509	            -114.275	             -57.027	            -115.216	            -113.626	           -0.612213	            -7.08267
