  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	           Delta_max	          Delta_LFNS
  1	        -65.681	            0.833333	     0.06717	         -55.9163	            -114.623	            -70.0103	            -138.561	            -55.9163	            -114.623	             16.0628	            -1.59907
  2	       -63.8117	            0.714286	     0.09633	         -55.9688	            -114.786	            -66.9755	            -133.989	            -55.9688	            -114.786	             12.9249	            -1.73712
  3	       -63.1994	            0.833333	    0.072357	         -55.8854	            -114.699	            -65.6715	            -132.873	            -55.8854	            -114.699	             11.5812	            -1.88353
  4	       -61.6944	            0.714286	    0.069989	         -55.9499	            -114.869	            -64.5064	            -130.572	            -55.9501	            -114.869	             10.3129	            -2.00179
  5	       -60.3215	            0.833333	    0.076846	         -55.9539	            -115.004	            -63.3336	            -127.984	            -55.9545	            -115.003	             9.03697	            -2.20341
  6	        -59.615	               0.625	    0.094046	         -56.0227	            -115.166	            -62.3616	            -126.495	            -56.0244	            -115.165	              7.9618	            -2.32037
  7	       -59.1108	            0.714286	    0.072537	         -56.0744	            -115.314	            -61.6555	            -125.536	            -56.0781	            -115.312	             7.15247	            -2.46548
  8	        -58.285	                   1	    0.053755	         -56.1007	            -115.406	             -61.044	            -124.487	            -56.1078	            -115.401	             6.43778	            -2.61313
  9	       -57.5712	            0.555556	    0.087959	         -56.1278	            -115.532	            -60.3913	            -123.077	             -56.142	            -115.525	             5.68195	            -2.82049
 10	        -56.992	            0.714286	    0.067838	         -56.1066	             -115.59	            -59.8212	            -122.223	            -56.1313	             -115.58	             5.00862	            -3.11735
 11	         -56.57	            0.714286	    0.069156	         -56.1124	            -115.644	            -59.2661	            -121.161	             -56.156	            -115.635	             4.35037	            -3.32188
 12	        -56.191	            0.555556	     0.09297	         -56.1056	            -115.694	            -58.8241	            -120.416	            -56.1738	            -115.689	             3.80516	            -3.61231
 13	       -56.0463	                   1	    0.057628	         -56.1138	            -115.754	            -58.4786	            -119.964	            -56.2125	            -115.762	              3.3565	            -3.88985
 14	       -55.7117	            0.714286	    0.083527	         -56.0806	            -115.663	            -58.1848	            -119.484	            -56.2106	            -115.688	             3.19702	            -3.91343
 15	       -55.5921	            0.833333	     0.06724	         -56.0888	            -115.717	            -57.9316	            -119.122	            -56.2613	            -115.773	             2.84068	              -4.191
 16	       -55.3975	                   1	    0.050076	         -56.1087	            -115.783	             -57.723	            -118.806	            -56.3306	             -115.88	             2.52892	            -4.42597
 17	       -55.2395	            0.555556	    0.075485	         -56.1171	            -115.824	            -57.5427	            -118.539	             -56.392	            -115.972	             2.24535	            -4.69032
 18	       -55.1317	            0.357143	    0.121672	         -56.0948	            -115.786	            -57.3786	            -118.281	            -56.4191	            -115.989	             1.97806	            -4.91822
 19	       -55.0642	            0.714286	    0.064894	         -56.0986	             -115.81	            -57.2405	            -118.065	            -56.4831	            -116.082	             1.73687	            -5.19741
 20	       -54.9795	            0.294118	    0.131289	         -56.0866	             -115.79	            -57.1213	            -117.874	            -56.5256	            -116.131	             1.51441	            -5.45524
 21	       -54.9142	            0.384615	    0.138684	         -56.0907	            -115.808	            -57.0186	            -117.705	            -56.5938	             -116.23	             1.30854	            -5.72143
 22	       -54.8535	            0.277778	    0.172452	         -56.0968	            -115.828	            -56.9269	            -117.551	            -56.6695	            -116.344	             1.11371	             -5.9866
 23	       -54.7471	            0.263158	    0.148773	         -56.0909	            -115.817	            -56.8471	            -117.409	            -56.7246	            -116.416	            0.930691	            -6.21422
 24	         -54.71	            0.333333	    0.114762	         -56.0976	            -115.838	            -56.7746	            -117.281	            -56.8071	            -116.544	            0.755039	            -6.48471
 25	       -54.6338	             0.15625	    0.212321	         -56.0987	            -115.844	            -56.7085	             -117.16	            -56.8829	            -116.659	            0.585716	            -6.74682
 26	       -54.5906	            0.238095	    0.163743	         -56.1002	            -115.849	            -56.6498	             -117.05	             -56.961	            -116.778	            0.423788	            -6.97485
